Name,SMILES,Metabolite,Type,ACYLSUGAR-BIOSYNTHESIS,ALKALOIDS-SYN,ANTHOCYANIN-SYN,APOCAROTENOID-SYN,AURONE-SYN,Abscisic-Acid-Biosynthesis,Aroma-Compound-Biosynthesis,Auxin-Biosynthesis,BETALAIN-ALKALOIDS,C40-Carotenoids-Biosynthesis,CINNAMATE-SYN,COUMARIN-SYN,CYANOGENIC-GLUCOSIDE-SYN,CYCLITOLS,CYTOKININ-BIOSYNTHESIS,Caffeine-Biosynthesis,Cyclitols-Biosynthesis,DITERPENOID-SYN,FATTY-ACID-DERIVATIVE-SYN,FLAVANONES-SYN,FLAVONE-SYN,FLAVONOID-SYN,FLAVONOL-SYN,GIBBERELLIN-SYN,GIBBERELLINS-BIOSYNTHESIS,GLUCOSINOLATE-SYN,INDOLE-PHYTOALEXIN-SYN,ISOFLAVONOID-PHYTOALEXINS,ISOFLAVONOID-SYN,ISOPRENOIDS,ISOQUINOLINE-ALKALOIDS,Jasmonates-Biosynthesis,LEUCOANTHOCYANIDIN-SYN,LIGNAN-SYN,LIGNIN-SYN,Lycopene-Biosynthesis,MEP-Pathways,MONOTERPENOID-SYN,N-CONTAINING-SECONDARY-CMPD-SYN,NON-PROTEIN-AMINO-ACID-SYN,PHENYLPROPANOID-SYN,PHYTOALEXIN-SYN,POLYKETIDE-SYN,PYRROLIDINE-ALKALOIDS,Phytate-Biosynthesis,Plant-Hormone-Biosynthesis,QUINOLINE-ALKALOIDS,QUINONE-SYN,Resin-Acids-Biosynthesis,Rosmarinate-Biosynthesis,Rotenoids-Biosynthesis,S-CONTAINING-SECONDARY-CMPD-SYN,SESQUITERPENE-LACTONE,SESQUITERPENOID-SYN,SUGAR-DERIVS,TERPENOID-ALKALOIDS,TERPENOID-PHYTOALEXINS,TERPENOPHENOLICS-SYN,TRITERPENOID-SYN,TROPANE-ALKALOIDS,Terpenoid-Biosynthesis,Toxin-Biosynthesis,XANTHONE-SYN,Yatein-Biosynthesis
(E)-(4-hydroxyphenyl)acetaldehyde oxime,C1(\C=C(\C=C/C(\C/C=N/O)=1)\O),CPD-2205,"['CYANOGENIC-GLUCOSIDE-SYN', 'CYANOGENIC-GLUCOSIDE-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(E)-2-hexenal,CCC/C=C/C=O,TRANS-2-HEXENAL,['FATTY-ACID-DERIVATIVE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(E)-2-hexenol,CCC/C=C/CO,TRANS-2-HEXENOL,['FATTY-ACID-DERIVATIVE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(E,E)-piperoyl-CoA",CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(/C=C/C=C/C1(\C=C/C2(/OCOC(/C=1)=2)))=O)COP(=O)(OP(=O)(OC[C@H]3(O[C@H]([C@@H]([C@@H]3OP([O-])(=O)[O-])O)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-],EE-PIPEROYL-COA,['PYRROLIDINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(L-cysteinylglycin-<i>S</i>-yl)(1<i>H</i>-indol-3-yl)acetonitrile,C1(/NC2(/C=C\C=C/C(/C(/C(SC[C@@H](C(=O)NCC([O-])=O)[NH3+])C#N)=1)=2)),CPD-12635,['INDOLE-PHYTOALEXIN-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-3,4-dihydroxymandelonitrile",C1(/C=C(C(/O)=C\C(\[C@@H](O)C#N)=1)/O),CPD-14592,['CYANOGENIC-GLUCOSIDE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-3-(3,4-dihydroxyphenyl)lactate",C([C@@H](CC1(\C=C/C(/O)=C(\C=1)/O))O)(=O)[O-],CPD-6982,['Rosmarinate-Biosynthesis'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-3-(4-hydroxyphenyl)lactate,C1(\C(/C[C@H](C([O-])=O)O)=C/C=C(\C=1)/O),CPD-2222,['Rosmarinate-Biosynthesis'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-4-hydroxymandelonitrile,C1(/C=C(\C=C/C(/[C@@H](O)C#N)=1)/O),CPD-14590,['CYANOGENIC-GLUCOSIDE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-amygdalin,C3(\C=C/C(/[C@@H](O[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))[C@@H](O)[C@H](O)[C@@H](O)2))C#N)=C\C=3),CPD-1125,['CYANOGENIC-GLUCOSIDE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-canadine,C2(CC5(/C=C1(C(/OCO1)=C\C(\[C@H]3(CC4(\C(\CN23)=C(C(/OC)=C\C=4)\OC)))=5))),R-CANADINE,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-dihydrocamalexate,C2(/NC3(/C=C\C=C/C(/C(/C1(/SCC(C([O-])=O)\N=1))=2)=3)),INDOLE-CARBOXY-HYDRO-THIAZOLE,['INDOLE-PHYTOALEXIN-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-mevalonate diphosphate,C[C@@](O)(CCOP(=O)([O-])OP([O-])([O-])=O)CC(=O)[O-],CPD-641,['ISOPRENOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(R)-reticuline,C1([NH+]([C@@H](C2(\C=C(C(/OC)=C\C(/C1)=2)\O))CC3(\C=C/C(/OC)=C(\C=3)/O))C),R-RETICULINE,"['ISOQUINOLINE-ALKALOIDS', 'ISOQUINOLINE-ALKALOIDS']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-autumnaline,CN2(CCC3(\C(\[C@H](CCC1(\C=C(C(\OC)=C(\C=1)\OC)\O))2)=C/C(/O)=C(\C=3)/OC)),CPD-9790,['TROPANE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
(S)-coclaurine,C1([NH2+][C@H](C2(\C=C(C(/OC)=C\C(/C1)=2)\O))CC3(\C=C/C(/O)=C\C=3)),S-COCLAURINE,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-colchicine,CC(=O)N[C@H]1(CCC3(\C=C(C(\OC)=C(C(/C2(C\1=C\C(=O)C(/OC)=C\C=2))=3)\OC)\OC)),CPD-9785,['TROPANE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
(S)-corytuberine,C[NH+]3(CCC2(/C=C(C(O)=C1(C4(C(/C[C@@H](C/1=2)3)=C/C=C(C(O)=4)/OC)))/OC)),CPD-9935,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-isoandrocymbine,CN2(CC[C@]13(/C=C(C(=O)/C=C1/[C@@H]2CCC4(\C=C(C(\OC)=C(C\3=4)\OC)\O))/OC)),CPD-9789,['TROPANE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
(S)-magnoflorine,C[N+]3(C)(CCC2(/C=C(C(O)=C1(C4(C(/C[C@@H](C/1=2)3)=C/C=C(C(O)=4)/OC)))/OC)),CPD-9936,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-nandinine,COC1(/C=C\C2(/C[C@@H]3(N(CC(\C(\O)=1)=2)CCC4(\C/3=C/C5(/OCOC(/C=4)=5))))),CPD-16783,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-norlaudanine,COC3(\C(\O)=C/C=C(C[C@H]1(C2(\C=C(C(/OC)=C\C(/CC[NH2+]1)=2)\OC)))\C=3),CPD-15801,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-norreticuline,COC3(\C(\O)=C/C(\C[C@H]1(C2(\C=C(C(/OC)=C\C(/CC[NH2+]1)=2)\O)))=C\C=3),CPD-15799,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(S)-tetrahydropapaverine,COC3(/C=C(C[C@@H]1([NH2+]CCC2(\C/1=C/C(/OC)=C(\C=2)/OC)))\C=C/C(/OC)=3),CPD-15798,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Z)-2-methylpropanal-oxime,CC(\C=N/O)C,CPD-4861,['CYANOGENIC-GLUCOSIDE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Z)-3-hexanal,CC\C=C/CC=O,CIS-3-HEXENAL,['FATTY-ACID-DERIVATIVE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Z)-butanethial S-oxide,CCCC=[S+][O-],CPD-13606,['S-CONTAINING-SECONDARY-CMPD-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"(Z,E)-&alpha;-farnesene",C=CC(/C)=C/C/C=C(C)/CCC=C(C)C,CPD-9338,['SESQUITERPENOID-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
(glutathion-<i>S</i>-yl)(1<i>H</i>-indol-3-yl)acetonitrile,C1(/NC2(/C=C\C=C/C(/C(/C(SC[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O)C#N)=1)=2)),CPD-12634,['INDOLE-PHYTOALEXIN-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(indol-3-yl)acetaldehyde,C(=O)CC1(\C2(\C(\N\C=1)=C/C=C\C=2)),INDOLE_ACETALDEHYDE,['ALKALOIDS-SYN'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(indol-3-yl)acetamide,C(N)(=O)CC1(\C2(/C=C\C=C/C(/N\C=1)=2)),CPD-237,['Auxin-Biosynthesis'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(indol-3-yl)acetate,C([O-])(=O)CC1(\C2(/C=C\C=C/C(/N\C=1)=2)),INDOLE_ACETATE_AUXIN,"['Auxin-Biosynthesis', 'Auxin-Biosynthesis', 'ALKALOIDS-SYN', 'Auxin-Biosynthesis', 'Auxin-Biosynthesis', 'Auxin-Biosynthesis']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(indol-3-yl)pyruvate,C([O-])(=O)C(=O)CC1(\C2(/C=C\C=C/C(/N\C=1)=2)),INDOLE_PYRUVATE,"['Auxin-Biosynthesis', 'Auxin-Biosynthesis']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(indole-3-yl)acetonitrile,C(#N)CC1(\C2(/C=C\C=C/C(/N\C=1)=2)),INDOLEYL-CPD,"['INDOLE-PHYTOALEXIN-SYN', 'Auxin-Biosynthesis', 'N-CONTAINING-SECONDARY-CMPD-SYN']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-dehydroreticuline",C2(CC3(\C(\C(/CC1(\C=C(C(/OC)=C\C=1)\O))=[N+](C)/2)=C/C(/O)=C(\C=3)/OC)),12-DEHYDRORETICULINIUM,['ISOQUINOLINE-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-di-O-sinapoyl-&beta;-D-glucose",COC1(\C(\O)=C(C=C(/C=1)/C=C/C(O[C@H]3([C@H](OC(/C=C/C2(/C=C(C(\O)=C(C=2)\OC)/OC))=O)O[C@H](CO)[C@H]([C@@H]3O)O))=O)\OC),12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE,['CINNAMATE-SYN'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-dihydropyrimidine",C1(\[NH2+]C\C=C/C=1),CPD-14075,"['PYRROLIDINE-ALKALOIDS', 'PYRROLIDINE-ALKALOIDS']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-dihydrovomilenine",C/C=C3([C@@H]2(C4([C@@H](OC(=O)C)C15(C6(\C(\N[C@H]1[C@H](C2)N([C@H](O)3)[C@H]4C5)=C/C=C\C=6))))),12-DIHYDROVOMILENINE,['TERPENOID-ALKALOIDS'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one",CSCCC(C(\[O-])=C\O)=O,CPD-85,['S-CONTAINING-SECONDARY-CMPD-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,5,6-tetrahydroxyxanthone",C1(\C2(\C(=O)C3(/C(/OC(/C(/O)=C(\C=1)/O)=2)=C\C(\[O-])=C/C(/O)=3))),CPD-6886,['XANTHONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1,3,5,8-tetrahydroxyxanthone",C1(/C=C(C2(\OC3(\C(\C(=O)C(/C(/O)=1)=2)=C(/C=C(/C=3)/[O-])\O)))/O),CPD-6885,['XANTHONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1,3,5-trihydroxyxanthone",C3(\C=C1(C(\OC2(\C(\C1=O)=C(/C=C(/C=2)/[O-])\O))=C(\C=3)\O)),CPD-6882,['XANTHONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1,3,5-trimethoxybenzene",COC1(\C=C(/C=C(/C=1)/OC)\OC),CPD-9500,['Aroma-Compound-Biosynthesis'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,6,7-tetrahydroxyxanthone",C3(/C(/O)=C1(C(/OC2(\C(\C(=O)1)=C/C(/O)=C(/C=2)/O))=C\C(\[O-])=3)),CPD-6884,['XANTHONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1,3,7-trihydroxyxanthone",C1(\C(\O)=C/C2(/C(=O)C3(/C(/OC(/C=1)=2)=C\C(\[O-])=C/C(/O)=3))),CPD-6883,['XANTHONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1,3,8-trihydroxy-2-methoxyanthraquinone",COC1(/C(/O)=C\C2(\C(=O)C3(/C=C\C=C(C(\C(=O)C(/C(/O)=1)=2)=3)\O))),CPD-9624,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-dihydroxy-N-methylacridone",CN1(C3(/C=C\C=C/C(/C(=O)C2(/C(/O)=C\C(\O)=C/C\1=2))=3)),13-DIHYDROXY-N-METHYLACRIDONE,['ALKALOIDS-SYN'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4,5-trihydroxy-6,7,8-trimethoxy-2-methylanthraquinone",CC1(/C=C(C2(\C(=O)C3(/C(/O)=C(C(\OC)=C(C(\C(=O)C(/C(/O)=1)=2)=3)\OC)/OC)))/O),CPD-9633,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-dihydroxy-2-naphthoate",C([O-])(=O)C1(/C=C(C2(/C=C\C=C/C(/C(/O)=1)=2))/O),DIHYDROXYNAPHTHOATE,"['QUINONE-SYN', 'QUINONE-SYN', 'QUINONE-SYN']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-dihydroxy-6,7,8-trimethoxy-2-methylanthraquinone",CC1(/C=C(C2(\C(=O)C3(/C=C(C(\OC)=C(C(\C(=O)C(/C(/O)=1)=2)=3)\OC)/OC)))/O),CPD-9632,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,4-naphthoquinone",C2(\C=C1(C(/C(\C=C/C1=O)=O)=C\C=2)),CPD0-954,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,5,7-trihydroxy-6,8-dimethoxyanthraquinone",COC1(/C2(/C(=O)C3(/C(/O)=C\C=C/C(/C(=O)C(/C(/O)=C(C(\[O-])=1)/OC)=2)=3))),CPD-9630,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,5,7-trihydroxy-6-methoxy-2-methylanthraquinone",CC1(/C=C\C2(\C(=O)C3(/C(/O)=C(C(/O)=C\C(\C(=O)C(/C(/O)=1)=2)=3)/OC))),CPD-9623,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6,7,8-tetrahydroxy-2-methylanthraquinone",CC1(/C=C\C2(\C(=O)C3(/C=C(C(\[O-])=C(C(\C(=O)C(/C(/O)=1)=2)=3)\O)/O))),CPD-9626,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,6,7-trihydroxy-2-methylanthraquinone",CC1(/C=C\C2(\C(=O)C3(/C=C(C(/O)=C\C(\C(=O)C(/C(/O)=1)=2)=3)/O))),CPD-9625,['QUINONE-SYN'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
